Timestamp	ICMP Ping	rDNS	Serviceprobe	Hostprobes	Syncscan	TcpIP Fingerprint	Traceroute	IP Seq	
1333375200	0	0	0	0	0	0	0	0	
1333382400	0	0	0	0	0	0	0	0	
1333389600	0	0	0	0	0	0	0	0	
1333396800	0	0	0	0	0	0	0	0	
1333404000	0	0	0	0	0	0	0	0	
1333411200	0	0	0	0	0	0	0	0	
1333418400	0	0	0	0	0	0	0	0	
1333425600	0	0	0	0	0	0	0	0	
1333432800	0	0	0	0	0	0	0	0	
1333440000	0	0	0	0	0	0	0	0	
1333447200	19326	0	0	0	0	0	0	0	
1333461600	26548	0	0	0	0	0	0	0	
1333476000	46249	0	0	0	0	0	0	0	
1333490400	137985	0	0	0	0	0	0	0	
1333504800	1171283	0	0	0	0	0	0	0	
1333519200	1196194	0	0	0	0	0	0	0	
1333533600	894787	0	0	0	0	0	0	0	
1333548000	3850265	0	0	0	0	0	0	0	
1333562400	7200639	0	0	0	0	0	0	0	
1333576800	10045334	0	0	0	0	0	0	0	
1333591200	9513912	0	0	0	0	0	0	0	
1333605600	8696915	0	0	0	0	0	0	0	
1333620000	4405179	0	0	0	0	0	0	0	
1333634400	2252338	0	0	0	0	0	0	0	
1333648800	1278554	0	0	0	0	0	0	0	
1333663200	689533	0	0	0	0	0	0	0	
1333677600	544924	0	0	0	0	0	0	0	
1333692000	26507	0	0	0	0	0	0	0	
1333706400	54980	0	0	0	0	0	0	0	
1333720800	668188	0	0	0	0	0	0	0	
1333735200	631945	0	0	0	0	0	0	0	
1333749600	756332	0	0	0	0	0	0	0	
1333764000	529889	0	0	0	0	0	0	0	
1333778400	588702	0	0	0	0	0	0	0	
1333792800	5627403	0	0	0	0	0	0	0	
1333807200	6464966	0	0	0	0	0	0	0	
1333821600	6266792	0	0	0	0	0	0	0	
1333836000	3611834	0	0	0	0	0	0	0	
1333850400	464738	0	0	0	0	0	0	0	
1333864800	932748	0	0	0	0	0	0	0	
1333879200	355159	0	0	0	0	0	0	0	
1333893600	3178201	0	0	0	0	0	0	0	
1333908000	4995009	0	0	0	0	0	0	0	
1333922400	7060274	0	0	0	0	0	0	0	
1333936800	5735697	0	0	0	0	0	0	0	
1333951200	8085577	0	0	0	0	0	0	0	
1333965600	9375647	0	0	0	0	0	0	0	
